index;max_id (categoric);min_id (categoric);max_db;min_db;num_id;mean;std;max_ch (categoric);min_ch (categoric);num_ch;0_bssid (categoric);0_signal;1_bssid (categoric);1_signal;2_bssid (categoric);2_signal;3_bssid;3_signal;4_bssid;4_signal;5_bssid;5_signal;6_bssid;6_signal;7_bssid;7_signal;8_bssid;8_signal;9_bssid;9_signal;10_bssid;10_signal;11_bssid;11_signal;12_bssid;12_signal;13_bssid;13_signal;14_bssid;14_signal;15_bssid;15_signal;16_bssid;16_signal;17_bssid;17_signal;18_bssid;18_signal;19_bssid;19_signal;20_bssid;20_signal;21_bssid;21_signal;22_bssid;22_signal;23_bssid;23_signal;24_bssid;24_signal;25_bssid;25_signal;26_bssid;26_signal;27_bssid;27_signal;28_bssid;28_signal;29_bssid;29_signal;30_bssid;30_signal;31_bssid;31_signal;32_bssid;32_signal;33_bssid;33_signal;34_bssid;34_signal;35_bssid;35_signal;36_bssid;36_signal;37_bssid;37_signal;38_bssid;38_signal;39_bssid;39_signal;40_bssid;40_signal;41_bssid;41_signal;42_bssid;42_signal;43_bssid;43_signal;44_bssid;44_signal;45_bssid;45_signal;46_bssid;46_signal;47_bssid;47_signal;48_bssid;48_signal;49_bssid;49_signal;50_bssid;50_signal;51_bssid;51_signal;52_bssid;52_signal;53_bssid;53_signal;54_bssid;54_signal;55_bssid;55_signal;56_bssid;56_signal;57_bssid;57_signal;58_bssid;58_signal;59_bssid;59_signal;60_bssid;60_signal;61_bssid;61_signal;62_bssid;62_signal;63_bssid;63_signal;64_bssid;64_signal;65_bssid;65_signal;66_bssid;66_signal;67_bssid;67_signal;68_bssid;68_signal;69_bssid;69_signal;70_bssid;70_signal;71_bssid;71_signal;72_bssid;72_signal;73_bssid;73_signal;74_bssid;74_signal;75_bssid;75_signal;76_bssid;76_signal;77_bssid;77_signal;78_bssid;78_signal;79_bssid;79_signal;80_bssid;80_signal;81_bssid;81_signal;82_bssid;82_signal;83_bssid;83_signal;84_bssid;84_signal;85_bssid;85_signal;86_bssid;86_signal;87_bssid;87_signal;88_bssid;88_signal;89_bssid;89_signal;90_bssid;90_signal;91_bssid;91_signal;92_bssid;92_signal;93_bssid;93_signal;94_bssid;94_signal;95_bssid;95_signal;96_bssid;96_signal;97_bssid;97_signal;98_bssid;98_signal;99_bssid (categoric);99_signal;x;y;z;Floor
0;13;28;-82;-40;19;-69.15789474;11.70363487;6;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;-62;0;0;0;0;1;-70;1;-70;1;-80;1;-72;0;0;0;0;0;0;0;0;0;0;0;0;1;-72;1;-68;1;-40;1;-40;1;-80;1;-78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;-82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;-74;1;-72;0;0;0;0;0;0;0;0;0;0;0;0;1;-64;1;-60;1;-74;1;-74;1;-82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Base
1;13;28;-82;-40;19;-69.15789474;11.70363487;6;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;-62;0;0;0;0;1;-70;1;-70;1;-80;1;-72;0;0;0;0;0;0;0;0;0;0;0;0;1;-72;1;-68;1;-40;1;-40;1;-80;1;-78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;-82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;-74;1;-72;0;0;0;0;0;0;0;0;0;0;0;0;1;-64;1;-60;1;-74;1;-74;1;-82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Base
2;13;28;-82;-40;19;-69.15789474;11.70363487;6;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;-62;0;0;0;0;1;-70;1;-70;1;-80;1;-72;0;0;0;0;0;0;0;0;0;0;0;0;1;-72;1;-68;1;-40;1;-40;1;-80;1;-78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;-82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;-74;1;-72;0;0;0;0;0;0;0;0;0;0;0;0;1;-64;1;-60;1;-74;1;-74;1;-82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Base
3;13;28;-82;-40;19;-69.15789474;11.70363487;6;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;-62;0;0;0;0;1;-70;1;-70;1;-80;1;-72;0;0;0;0;0;0;0;0;0;0;0;0;1;-72;1;-68;1;-40;1;-40;1;-80;1;-78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;-82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;-74;1;-72;0;0;0;0;0;0;0;0;0;0;0;0;1;-64;1;-60;1;-74;1;-74;1;-82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Base
4;12;28;-82;-40;20;-71.1;8.932524839;6;1;3;1;-80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;-62;0;0;0;0;1;-70;1;-70;1;-72;1;-72;0;0;0;0;0;0;0;0;0;0;0;0;1;-70;1;-70;1;-40;1;-68;1;-80;1;-78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;-82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;-74;1;-72;0;0;0;0;0;0;0;0;0;0;0;0;1;-64;1;-68;1;-74;1;-74;1;-82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Base
5;13;28;-86;-38;25;-73.44;11.89984874;6;1;4;1;-84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;-84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;-68;0;0;0;0;1;-72;1;-72;1;-74;1;-72;0;0;0;0;0;0;0;0;0;0;0;0;1;-72;1;-72;1;-38;1;-38;1;-78;1;-80;0;0;0;0;0;0;0;0;0;0;0;0;1;-82;1;-82;1;-86;1;-86;1;-78;1;-84;0;0;0;0;0;0;0;0;0;0;0;0;1;-72;1;-72;0;0;0;0;0;0;0;0;0;0;0;0;1;-68;1;-68;1;-74;1;-80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1.2;0;Base
6;13;28;-86;-38;25;-73.44;11.89984874;6;1;4;1;-84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;-84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;-68;0;0;0;0;1;-72;1;-72;1;-74;1;-72;0;0;0;0;0;0;0;0;0;0;0;0;1;-72;1;-72;1;-38;1;-38;1;-78;1;-80;0;0;0;0;0;0;0;0;0;0;0;0;1;-82;1;-82;1;-86;1;-86;1;-78;1;-84;0;0;0;0;0;0;0;0;0;0;0;0;1;-72;1;-72;0;0;0;0;0;0;0;0;0;0;0;0;1;-68;1;-68;1;-74;1;-80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1.2;0;Base
7;13;28;-86;-38;25;-73.44;11.89984874;6;1;4;1;-84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;-84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;-68;0;0;0;0;1;-72;1;-72;1;-74;1;-72;0;0;0;0;0;0;0;0;0;0;0;0;1;-72;1;-72;1;-38;1;-38;1;-78;1;-80;0;0;0;0;0;0;0;0;0;0;0;0;1;-82;1;-82;1;-86;1;-86;1;-78;1;-84;0;0;0;0;0;0;0;0;0;0;0;0;1;-72;1;-72;0;0;0;0;0;0;0;0;0;0;0;0;1;-68;1;-68;1;-74;1;-80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1.2;0;Base
8;13;28;-86;-38;25;-73.44;11.89984874;6;1;4;1;-84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;-84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;-68;0;0;0;0;1;-72;1;-72;1;-74;1;-72;0;0;0;0;0;0;0;0;0;0;0;0;1;-72;1;-72;1;-38;1;-38;1;-78;1;-80;0;0;0;0;0;0;0;0;0;0;0;0;1;-82;1;-82;1;-86;1;-86;1;-78;1;-84;0;0;0;0;0;0;0;0;0;0;0;0;1;-72;1;-72;0;0;0;0;0;0;0;0;0;0;0;0;1;-68;1;-68;1;-74;1;-80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1.2;0;Base
9;12;28;-86;-36;25;-72.72;12.14420026;6;1;4;1;-84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;-74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;-68;0;0;0;0;1;-68;1;-68;1;-74;1;-76;0;0;0;0;0;0;0;0;0;0;0;0;1;-72;1;-68;1;-36;1;-38;1;-78;1;-80;0;0;0;0;0;0;0;0;0;0;0;0;1;-82;1;-84;1;-86;1;-86;1;-78;1;-84;0;0;0;0;0;0;0;0;0;0;0;0;1;-72;1;-72;0;0;0;0;0;0;0;0;0;0;0;0;1;-68;1;-68;1;-74;1;-80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1.2;0;Base
